SMILES,DrugBank,Name,CAS,Predict_RF_ECFP_reg,Predict_RF_MACCS_reg,Predict_GCN_reg,Predict_GAT_reg,Predict_MPNN_reg,Predict_AttentiveFP_reg,Avg. Prediction,DrugBank,CTD,Pubmed
O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,DB14821,Macozinone,1377239-83-2,7.181590156,7.779581394,6.4626374,7.665756,7.31668,6.189178,7.099237158,½áºË²¡£»¿¹¾úÒ©£»¿¹¸ÐÈ¾Ò©,,
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O,DB00615,Rifabutin,72559-06-9,7.347408414,7.246145357,6.877085,6.790184,6.897167,6.3178463,6.912639345,¿¹ÉúËØ£»HIV£»½áºË²¡,,36286508
C[C@]1(COc2ccc(N3CCC(Oc4ccc(OC(F)(F)F)cc4)CC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,DB11637,Delamanid,681492-22-8,7.350949944,7.380280937,7.083293,7.03693,6.5222793,5.968152,6.890314197,ÄÍ¶àÒ©½áºË²¡,,
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,DB11753,Rifamycin,6998-60-3,7.879023787,7.879023787,6.2691336,5.9589777,6.9194946,5.887583,6.798872746,¿¹ÉúËØ£»Ö¹ÐºÒ©£»½áºË²¡,,31609097
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,DB01201,Rifapentine,61379-65-5,6.953880993,6.922849828,6.632127,6.7418003,6.9476466,6.564667,6.79382862,¿¹ÉúËØ£»½áºË²¡,,
CO[C@H]1/C=C\O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCC(N(C)C6([C@@H]7CCN(c8c(F)cn9c(=O)c(C(=O)O)cc(C%10CC%10)c9c8C)C7)CC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@H]1C,DB16312,TNP-2092,922717-97-3,6.636439475,6.479981708,6.757415,7.2094407,6.6435575,6.8494935,6.762721314,Ï¸¾úÐÔÆ¤·ô¸ÐÈ¾,,
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,DB01045,Rifampicin,13292-46-1,6.630481792,6.630481792,6.5780587,6.738556,6.937927,6.562017,6.679587047,¿¹ÉúËØ£»½áºË²¡£»¿¹¾úÒ©,,31609097
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,DB05154,Pretomanid,187235-37-6,6.426178484,6.382796256,6.5217443,6.5710044,6.5195,6.1515007,6.428787357,½áºË²¡£»¿¹¾úÒ©£»¿¹¸ÐÈ¾Ò©,,
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(=O)c(c5oc6cc(N7CCN(CC(C)C)CC7)cc(O)c6nc-5c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,DB04934,Rifalazil,129791-92-0,6.867932648,6.285299649,5.993856,6.7595687,6.4982734,6.015503,6.403405566,¿¹ÉúËØ£»½áºË²¡,,
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,DB01220,Rifaximin,80621-81-4,6.877730645,5.738448887,6.212277,6.5464244,6.6758924,5.8657064,6.319413289,¿¹ÉúËØ£»Ö¹ÐºÒ©£»Æ¤·ô²¡,·ÎÏËÎ¬»¯,
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,DB00845,Clofazimine,2030-63-9,6.14302141,6.173045109,6.358808,6.721709,7.192828,4.9931645,6.26376267,¿¹¾úÒ©£»Âé·ç²¡,·ÎÏËÎ¬»¯,36912629
